Date,Close,Portfolio_Value
2026-01-07,482.3690185546875,10786.867873024275
2026-01-08,477.0212097167969,10786.867873024275
2026-01-09,478.1885681152344,10786.867873024275
2026-01-12,476.09332275390625,10786.867873024275
2026-01-13,469.5981750488281,10786.867873024275
2026-01-14,458.3338928222656,10528.122565826794
2026-01-15,455.6200866699219,10465.785295467325
2026-01-16,458.8127746582031,10539.122683300659
2026-01-20,453.48492431640625,10416.739716888504
2026-01-21,443.0986328125,10178.16222639527
2026-01-22,450.1126403808594,10339.27693450166
2026-01-23,464.888916015625,10678.694209517756
2026-01-26,469.20904541015625,10777.929401324733
2026-01-27,479.485595703125,11013.98608998034
2026-01-28,480.533203125,11038.05007370726
2026-01-29,432.5128173828125,11038.05007370726
2026-01-30,429.31011962890625,11038.05007370726
2026-02-02,422.4058837890625,10860.534339890515
2026-02-03,410.2735595703125,10548.59852446466
2026-02-04,413.2467956542969,10625.043796251734
2026-02-05,392.7735290527344,10098.65289236215
2026-02-06,400.22650146484375,10290.277265796281
2026-02-09,412.65814208984375,10609.90884549372
2026-02-10,412.328857421875,10601.442563225122
2026-02-11,403.4491271972656,10373.134628287615
2026-02-12,400.9248962402344,10308.233787549461
2026-02-13,400.4060974121094,10294.894881287539
2026-02-17,395.95623779296875,10180.483943712858
2026-02-18,398.69000244140625,10250.772133297736
2026-02-19,398.4599914550781,10244.858289974436
2026-02-20,397.2300109863281,10213.234097152055
2026-02-23,384.4700012207031,9885.159774432364
2026-02-24,389.0,10001.631180703744
2026-02-25,400.6000061035156,10299.88049366332
2026-02-26,401.7200012207031,10299.88049366332
2026-02-27,392.739990234375,10299.88049366332
2026-03-02,398.54998779296875,10299.88049366332
2026-03-03,403.92999267578125,10299.88049366332
2026-03-04,405.20001220703125,10299.88049366332
2026-03-05,410.67999267578125,10299.88049366332
2026-03-06,408.9599914550781,10299.88049366332
2026-03-09,409.4100036621094,10299.88049366332
2026-03-10,405.760009765625,10299.88049366332
2026-03-11,404.8800048828125,10299.88049366332
2026-03-12,401.8599853515625,10299.88049366332
2026-03-13,395.54998779296875,10299.88049366332
2026-03-16,399.95001220703125,10299.88049366332
2026-03-17,399.4100036621094,10299.88049366332
2026-03-18,391.7900085449219,10299.88049366332
2026-03-19,389.0199890136719,10299.88049366332
2026-03-20,381.8699951171875,10299.88049366332
2026-03-23,383.0,10299.88049366332
2026-03-24,372.739990234375,10023.961761418528
2026-03-25,371.0400085449219,9978.244768617527
2026-03-26,365.9700012207031,9841.898895141154
2026-03-27,356.7699890136719,9841.898895141154
2026-03-30,358.9599914550781,9841.898895141154
2026-03-31,370.1700134277344,10149.25321176003
2026-04-01,369.3699951171875,10127.31845715201
2026-04-02,373.4599914550781,10239.457223023512
2026-04-06,372.8800048828125,10239.457223023512
2026-04-07,372.2900085449219,10223.255650977646
2026-04-08,374.3299865722656,10223.255650977646
2026-04-09,373.07000732421875,10188.844595412309
2026-04-10,370.8699951171875,10188.844595412309
2026-04-13,384.3699951171875,10188.844595412309
2026-04-14,393.1099853515625,10188.844595412309
2026-04-15,411.2200012207031,10188.844595412309
2026-04-16,420.260009765625,10188.844595412309
2026-04-17,422.7900085449219,10188.844595412309
2026-04-20,418.07000732421875,10188.844595412309
2026-04-21,424.1600036621094,10188.844595412309
2026-04-22,432.9200134277344,10188.844595412309
2026-04-23,415.75,10188.844595412309
